City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1112,San Rafael,AR,57.18,clear sky,-34.6177,-68.3301,Hotel San Rafael
1113,Abatskoye,RU,55.17,clear sky,56.2875,70.4555,Gostinitsa Abatskaya
1117,Tarko-Sale,RU,59.9,overcast clouds,64.9225,77.785,Yubileynaya
1127,Binga,ZW,59.76,clear sky,-17.6203,27.3414,Lakeview Inn Binga
1132,Talcahuano,CL,51.48,mist,-36.7167,-73.1167,departamento comodo
1140,Nerchinskiy Zavod,RU,55.98,broken clouds,51.3088,119.61,Tat'yana
1152,Kichmengskiy Gorodok,RU,53.89,broken clouds,59.9816,45.7854,Gostinitsa
1155,Mishkino,RU,52.92,clear sky,55.3389,63.9175,Ip Klestova
1159,Mishelevka,RU,58.35,clear sky,52.8575,103.1719,База отдыха Белая
1160,Bagdarin,RU,54.45,overcast clouds,54.4333,113.6,Gostevoy Dom Terem
1172,Kirkwall,GB,59.34,few clouds,58.9848,-2.9587,Kirkwall Hotel
1184,Bundaberg,AU,53.22,few clouds,-24.85,152.35,Takalvan Motel
1188,Arbazh,RU,53.91,broken clouds,57.6804,48.3065,
1210,Konevo,RU,57.79,broken clouds,62.1215,39.3192,
1216,Wellington,NZ,54.77,moderate rain,-41.2866,174.7756,CityLife Wellington
1221,Seddon,AU,53.67,clear sky,-37.8068,144.8916,Footscray Motor Inn
1229,Kibre Mengist,ET,56.43,overcast clouds,5.8833,38.9833,Gunbuur Motel
1237,Skjervoy,NO,51.8,light rain,70.0311,20.9714,Skjervøy Byggeservice AS
1242,Mumbwa,ZM,56.52,clear sky,-14.9783,27.0619,Mumbwa Motel
1245,Yarensk,RU,53.26,light rain,62.1675,49.0916,Outskirts hotel
1271,Myaundzha,RU,53.56,moderate rain,63.0494,147.1858,
1277,Bindura,ZW,51.01,few clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
1279,Buenos Aires,AR,59.95,overcast clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
1280,Lilongwe,MW,54.93,broken clouds,-13.9669,33.7873,Spendwise furnished apartments.
1285,Kiama,AU,56.37,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
1288,Namwala,ZM,58.86,clear sky,-15.7504,26.4384,Corner Point Lodge
1295,Kungurtug,RU,53.44,overcast clouds,50.5994,97.5228,
1318,Petropavlovsk-Kamchatskiy,RU,50.59,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
1338,Sandwick,GB,58.82,clear sky,60.0,-1.25,Beach House Self-Catering Accomodation
1358,Bahia Blanca,AR,57.9,clear sky,-38.7196,-62.2724,Hotel Argos
1377,Dukat,RU,52.54,light rain,62.55,155.55,
1384,Maykor,RU,53.83,overcast clouds,59.0059,55.88,
1398,Kandalaksha,RU,59.13,overcast clouds,67.162,32.4123,Motel Gora Krestovaya
1404,Knysna,ZA,59.38,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
1413,Port Augusta,AU,50.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
