,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Dera Bugti,PK,29.0307,69.151,99.3,31,16,8.77,few clouds
80,Bathsheba,BB,13.2167,-59.5167,88.41,70,75,17.27,broken clouds
81,Khasan,RU,42.4308,130.6434,73.65,96,82,3.74,broken clouds
82,Troitskoye,RU,52.9821,84.6757,66.81,77,10,7.14,clear sky
83,Xunchang,CN,28.4543,104.715,72.54,95,20,2.89,few clouds
84,Hay River,CA,60.8156,-115.7999,60.78,48,40,4.61,scattered clouds
85,Hithadhoo,MV,-0.6,73.0833,80.92,75,78,4.5,broken clouds
86,Cap Malheureux,MU,-19.9842,57.6142,70.47,60,0,10.0,clear sky
87,Bria,CF,6.5423,21.9863,70.84,95,100,4.18,overcast clouds
88,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,9.22,broken clouds
89,Puerto Suarez,BO,-18.95,-57.8,95.56,28,0,12.66,clear sky
90,Quatre Cocos,MU,-20.2078,57.7625,70.09,65,22,14.85,few clouds
91,Coquimbo,CL,-29.9533,-71.3436,60.53,55,0,8.05,clear sky
92,Constitucion,CL,-35.3333,-72.4167,53.58,87,30,9.89,scattered clouds
93,Hermanus,ZA,-34.4187,19.2345,62.91,54,100,9.86,overcast clouds
94,Eyl,SO,7.9803,49.8164,77.86,70,4,23.04,clear sky
95,Yellowknife,CA,62.456,-114.3525,63.32,51,20,8.05,few clouds
96,Seda,LV,57.65,25.75,64.42,63,0,3.11,clear sky
97,Flinders,AU,-34.5833,150.8552,56.17,62,0,11.99,clear sky
98,Port Alfred,ZA,-33.5906,26.891,61.18,45,66,11.88,broken clouds
99,Sorland,NO,67.667,12.6934,53.46,84,100,5.97,overcast clouds
100,Ilulissat,GL,69.2167,-51.1,55.42,35,75,13.8,broken clouds
101,Dubti,ET,11.7361,41.0853,83.57,56,100,9.13,overcast clouds
102,Kabompo,ZM,-13.5927,24.2008,56.28,45,0,6.31,clear sky
103,Peniche,PT,39.3558,-9.3811,73.47,87,20,10.76,few clouds
104,Buchanan,LR,5.8808,-10.0467,80.56,77,32,8.72,scattered clouds
105,Rio Cuarto,AR,-33.1307,-64.3499,56.97,47,0,6.91,clear sky
106,Coahuayana,MX,18.7333,-103.6833,89.08,63,80,5.93,broken clouds
107,Nabire,ID,-3.3667,135.4833,75.9,88,100,4.0,overcast clouds
108,Mahebourg,MU,-20.4081,57.7,70.25,64,20,12.66,few clouds
109,At-Bashi,KG,41.1702,75.8106,62.56,34,0,2.01,clear sky
110,Honavar,IN,14.2833,74.45,78.21,88,100,11.97,overcast clouds
111,Kurilsk,RU,45.2333,147.8833,61.92,86,3,6.93,clear sky
112,Coxim,BR,-18.5067,-54.76,96.37,18,0,10.8,clear sky
113,Port Elizabeth,ZA,-33.918,25.5701,50.29,87,40,3.44,scattered clouds
114,Payo,ID,-3.7508,103.6372,69.57,88,4,2.73,clear sky
115,Nouakchott,MR,18.0858,-15.9785,82.33,80,5,14.83,clear sky
116,Missoula,US,47.0166,-113.8009,80.85,16,0,7.2,clear sky
